# Exhaustive K rule/declaration inventory
source_files=26
inventory_items=937
category_counts={'claim': 2, 'configuration': 1, 'context': 5, 'rule': 699, 'syntax': 230}
flag_counts={'concrete': 35, 'function': 148, 'macro': 4, 'opaque/no-evaluators': 22, 'owise': 26, 'priority': 45, 'strictness': 2, 'symbol': 25, 'total': 108}
per_file_counts:
  /candidate/spec.k: {'claim': 2}
  /candidate/verification.k: {'flag:function': 3, 'flag:total': 1, 'rule': 4, 'syntax': 3}
  /reference/reference-semantics/semantics/assert.k: {'flag:priority': 1, 'rule': 3}
  /reference/reference-semantics/semantics/bool.k: {'context': 1, 'flag:priority': 5, 'rule': 13}
  /reference/reference-semantics/semantics/builtins.k: {'flag:function': 29, 'flag:opaque/no-evaluators': 1, 'flag:owise': 10, 'flag:priority': 1, 'flag:symbol': 1, 'flag:total': 22, 'rule': 137, 'syntax': 38}
  /reference/reference-semantics/semantics/call.k: {'flag:function': 1, 'flag:owise': 2, 'flag:priority': 5, 'flag:total': 1, 'rule': 21, 'syntax': 3}
  /reference/reference-semantics/semantics/comprehension.k: {'flag:macro': 3, 'rule': 7, 'syntax': 3}
  /reference/reference-semantics/semantics/concrete.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 1, 'rule': 16, 'syntax': 5}
  /reference/reference-semantics/semantics/controls.k: {'flag:owise': 3, 'flag:priority': 6, 'rule': 34, 'syntax': 3}
  /reference/reference-semantics/semantics/core.k: {'configuration': 1, 'flag:function': 15, 'flag:owise': 3, 'flag:priority': 2, 'flag:total': 10, 'rule': 46, 'syntax': 37}
  /reference/reference-semantics/semantics/dict.k: {'flag:function': 8, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 4, 'rule': 28, 'syntax': 12}
  /reference/reference-semantics/semantics/float.k: {'flag:concrete': 26, 'flag:function': 26, 'flag:opaque/no-evaluators': 19, 'flag:priority': 4, 'flag:symbol': 22, 'flag:total': 25, 'rule': 121, 'syntax': 34}
  /reference/reference-semantics/semantics/functions.k: {'flag:priority': 1, 'rule': 15, 'syntax': 4}
  /reference/reference-semantics/semantics/int.k: {'flag:function': 1, 'rule': 16, 'syntax': 1}
  /reference/reference-semantics/semantics/iter.k: {'syntax': 1}
  /reference/reference-semantics/semantics/list.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 2, 'rule': 27, 'syntax': 5}
  /reference/reference-semantics/semantics/methods.k: {'flag:function': 27, 'flag:owise': 4, 'flag:priority': 3, 'flag:total': 22, 'rule': 75, 'syntax': 27}
  /reference/reference-semantics/semantics/operators.k: {'context': 2, 'flag:owise': 1, 'flag:priority': 5, 'rule': 10}
  /reference/reference-semantics/semantics/range.k: {'flag:function': 2, 'flag:total': 1, 'rule': 6, 'syntax': 2}
  /reference/reference-semantics/semantics/set.k: {'flag:function': 5, 'flag:total': 5, 'rule': 12, 'syntax': 6}
  /reference/reference-semantics/semantics/sort.k: {'flag:concrete': 9, 'flag:function': 6, 'flag:opaque/no-evaluators': 2, 'flag:priority': 1, 'flag:symbol': 2, 'flag:total': 4, 'rule': 19, 'syntax': 6}
  /reference/reference-semantics/semantics/str.k: {'flag:function': 5, 'flag:total': 4, 'rule': 28, 'syntax': 5}
  /reference/reference-semantics/semantics/subscript.k: {'context': 2, 'flag:function': 13, 'flag:priority': 2, 'flag:total': 6, 'rule': 40, 'syntax': 15}
  /reference/reference-semantics/semantics/syntax.k: {'flag:macro': 1, 'flag:strictness': 2, 'syntax': 16}
  /reference/reference-semantics/semantics/tuple.k: {'flag:function': 1, 'flag:priority': 3, 'rule': 21, 'syntax': 4}

id	file	line	kind	flags	decision	complete_statement
K0736	/reference/reference-semantics/semantics/operators.k	12	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BinOp(OP:String, L:Val, R:Val) => applyBin(OP, L, R) ... </k>
K0737	/reference/reference-semantics/semantics/operators.k	15	context	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	context Compare(HOLE, _)
K0738	/reference/reference-semantics/semantics/operators.k	16	context	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	context Compare(_:Val, CmpOp(_, HOLE))
K0739	/reference/reference-semantics/semantics/operators.k	17	rule	owise	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Compare(LV:Val, CmpOp(OP:String, RV:Val)) => applyCmp(OP, LV, RV) ... </k> [owise]
K0740	/reference/reference-semantics/semantics/operators.k	19	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("is", V:Val, noneV) => V ==K noneV
K0741	/reference/reference-semantics/semantics/operators.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("is not", V:Val, noneV) => notBool (V ==K noneV)
K0742	/reference/reference-semantics/semantics/operators.k	25	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BinOp(OP:String, ref(H:Int), R:Expr) => BinOp(OP, V, R) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0743	/reference/reference-semantics/semantics/operators.k	28	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> BinOp(OP:String, L:Val, ref(H:Int)) => BinOp(OP, L, V) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(L) [priority(40)]
K0744	/reference/reference-semantics/semantics/operators.k	34	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Compare(ref(H:Int), CmpOp(OP:String, R:Expr)) => Compare(V, CmpOp(OP, R)) ... </k> <heap> ... H |-> V:Val ... </heap> requires OP =/=String "in" andBool OP =/=String "not in" [priority(40)]
K0745	/reference/reference-semantics/semantics/operators.k	38	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Compare(L:Val, CmpOp(OP:String, ref(H:Int))) => Compare(L, CmpOp(OP, V)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(L) orBool OP ==String "in" orBool OP ==String "not in" [priority(40)]
K0746	/reference/reference-semantics/semantics/operators.k	44	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> UnaryOp(OP:String, ref(H:Int)) => UnaryOp(OP, V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
K0747	/reference/reference-semantics/semantics/range.k	9	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= inRange(Int, Int, Int) [function, total]
K0748	/reference/reference-semantics/semantics/range.k	10	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule inRange(I:Int, HI:Int, ST:Int) => (ST >Int 0 andBool I <Int HI) orBool (ST <Int 0 andBool I >Int HI)
K0749	/reference/reference-semantics/semantics/range.k	12	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= rangeLen(Int, Int, Int) [function]
K0750	/reference/reference-semantics/semantics/range.k	13	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule rangeLen(LO:Int, HI:Int, ST:Int) => (HI -Int LO +Int ST -Int 1) /Int ST requires ST >Int 0 andBool HI >Int LO
K0751	/reference/reference-semantics/semantics/range.k	15	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule rangeLen(LO:Int, HI:Int, ST:Int) => (LO -Int HI -Int ST -Int 1) /Int (0 -Int ST) requires ST <Int 0 andBool HI <Int LO
K0752	/reference/reference-semantics/semantics/range.k	17	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule rangeLen(LO:Int, HI:Int, ST:Int) => 0 requires (ST >Int 0 andBool HI <=Int LO) orBool (ST <Int 0 andBool HI >=Int LO)
K0753	/reference/reference-semantics/semantics/range.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(rangeObj(I:Int, HI:Int, ST:Int)) => #iterYield(I, rangeObj(I +Int ST, HI, ST)) ... </k> requires inRange(I, HI, ST)
K0754	/reference/reference-semantics/semantics/range.k	23	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(rangeObj(I:Int, HI:Int, ST:Int)) => #iterDone ... </k> requires notBool inRange(I, HI, ST) endmodule
K0755	/reference/reference-semantics/semantics/set.k	8	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= setV(IntSeq)
K0756	/reference/reference-semantics/semantics/set.k	11	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= codeIn(Int, IntSeq) [function, total]
K0757	/reference/reference-semantics/semantics/set.k	12	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule codeIn(_:Int, .IntSeq) => false
K0758	/reference/reference-semantics/semantics/set.k	13	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule codeIn(C:Int, iCons(H:Int, T:IntSeq)) => C ==Int H orBool codeIn(C, T)
K0759	/reference/reference-semantics/semantics/set.k	16	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax IntSeq ::= dedupCodes(IntSeq) [function, total] | dedupFrom(IntSeq, IntSeq) [function, total]
K0760	/reference/reference-semantics/semantics/set.k	18	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dedupCodes(CS:IntSeq) => dedupFrom(CS, .IntSeq)
K0761	/reference/reference-semantics/semantics/set.k	19	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dedupFrom(.IntSeq, ACC:IntSeq) => ACC
K0762	/reference/reference-semantics/semantics/set.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dedupFrom(iCons(C:Int, S:IntSeq), ACC:IntSeq) => dedupFrom(S, ACC) requires codeIn(C, ACC)
K0763	/reference/reference-semantics/semantics/set.k	22	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dedupFrom(iCons(C:Int, S:IntSeq), ACC:IntSeq) => dedupFrom(S, snocCode(ACC, C)) requires notBool codeIn(C, ACC)
K0764	/reference/reference-semantics/semantics/set.k	25	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax IntSeq ::= snocCode(IntSeq, Int) [function, total]
K0765	/reference/reference-semantics/semantics/set.k	26	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule snocCode(.IntSeq, C:Int) => iCons(C, .IntSeq)
K0766	/reference/reference-semantics/semantics/set.k	27	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule snocCode(iCons(H:Int, T:IntSeq), C:Int) => iCons(H, snocCode(T, C))
K0767	/reference/reference-semantics/semantics/set.k	31	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= subsetCodes(IntSeq, IntSeq) [function, total]
K0768	/reference/reference-semantics/semantics/set.k	32	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule subsetCodes(.IntSeq, _:IntSeq) => true
K0769	/reference/reference-semantics/semantics/set.k	33	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule subsetCodes(iCons(C:Int, S:IntSeq), B:IntSeq) => codeIn(C, B) andBool subsetCodes(S, B)
K0770	/reference/reference-semantics/semantics/set.k	35	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= sameSet(IntSeq, IntSeq) [function, total]
K0771	/reference/reference-semantics/semantics/set.k	36	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule sameSet(A:IntSeq, B:IntSeq) => subsetCodes(A, B) andBool subsetCodes(B, A)
K0772	/reference/reference-semantics/semantics/set.k	39	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", setV(A:IntSeq), setV(B:IntSeq)) => sameSet(A, B) endmodule
K0773	/reference/reference-semantics/semantics/sort.k	18	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax ValSeq ::= sortVS(ValSeq) [function, total, symbol(sortVS), no-evaluators]
K0774	/reference/reference-semantics/semantics/sort.k	19	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= insVS(Int, ValSeq) [function]
K0775	/reference/reference-semantics/semantics/sort.k	20	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule sortVS(.ValSeq) => .ValSeq [concrete]
K0776	/reference/reference-semantics/semantics/sort.k	21	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule sortVS(vCons(X:Int, R:ValSeq)) => insVS(X, sortVS(R)) [concrete]
K0777	/reference/reference-semantics/semantics/sort.k	22	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule insVS(X:Int, .ValSeq) => vCons(X, .ValSeq) [concrete]
K0778	/reference/reference-semantics/semantics/sort.k	23	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule insVS(X:Int, vCons(Y:Int, R:ValSeq)) => vCons(X, vCons(Y, R)) requires X <=Int Y [concrete]
K0779	/reference/reference-semantics/semantics/sort.k	24	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule insVS(X:Int, vCons(Y:Int, R:ValSeq)) => vCons(Y, insVS(X, R)) requires X >Int Y [concrete]
K0780	/reference/reference-semantics/semantics/sort.k	26	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= insVSs(IntSeq, ValSeq) [function]
K0781	/reference/reference-semantics/semantics/sort.k	27	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule sortVS(vCons(str(CS:IntSeq), R:ValSeq)) => insVSs(CS, sortVS(R)) [concrete]
K0782	/reference/reference-semantics/semantics/sort.k	28	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule insVSs(A:IntSeq, .ValSeq) => vCons(str(A), .ValSeq) [concrete]
K0783	/reference/reference-semantics/semantics/sort.k	29	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule insVSs(A:IntSeq, vCons(str(B:IntSeq), R:ValSeq)) => vCons(str(A), vCons(str(B), R)) requires strLt(A, B) orBool A ==K B [concrete]
K0784	/reference/reference-semantics/semantics/sort.k	31	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule insVSs(A:IntSeq, vCons(str(B:IntSeq), R:ValSeq)) => vCons(str(B), insVSs(A, R)) requires notBool (strLt(A, B) orBool A ==K B) [concrete]
K0785	/reference/reference-semantics/semantics/sort.k	36	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), .Vals)) => #alloc(list(sortVS(VS))) ... </k>
K0786	/reference/reference-semantics/semantics/sort.k	40	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), "sort")), .Vals) => noneV ... </k> <heap> ... H |-> list(VS:ValSeq => sortVS(VS)) ... </heap> [priority(40)]
K0787	/reference/reference-semantics/semantics/sort.k	49	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax ValSeq ::= sortKeyVS(ValSeq, Val) [function, total, symbol(sortKeyVS), no-evaluators]
K0788	/reference/reference-semantics/semantics/sort.k	51	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= revVS(ValSeq) [function, total] | revVSAcc(ValSeq, ValSeq) [function, total]
K0789	/reference/reference-semantics/semantics/sort.k	53	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule revVS(S:ValSeq) => revVSAcc(S, .ValSeq)
K0790	/reference/reference-semantics/semantics/sort.k	54	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule revVSAcc(.ValSeq, A:ValSeq) => A
K0791	/reference/reference-semantics/semantics/sort.k	55	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule revVSAcc(vCons(V:Val, R:ValSeq), A:ValSeq) => revVSAcc(R, vCons(V, A))
K0792	/reference/reference-semantics/semantics/sort.k	57	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= condRev(ValSeq, Bool) [function, total]
K0793	/reference/reference-semantics/semantics/sort.k	58	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule condRev(S:ValSeq, false) => S
K0794	/reference/reference-semantics/semantics/sort.k	59	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule condRev(S:ValSeq, true) => revVS(S)
K0795	/reference/reference-semantics/semantics/sort.k	61	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #alloc(list(sortKeyVS(VS, KV))) ... </k>
K0796	/reference/reference-semantics/semantics/sort.k	63	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #alloc(list(condRev(sortKeyVS(VS, KV), RB))) ... </k>
K0797	/reference/reference-semantics/semantics/sort.k	65	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("reverse", RB:Bool), .Vals)) => #alloc(list(condRev(sortVS(VS), RB))) ... </k> endmodule
K0798	/reference/reference-semantics/semantics/str.k	8	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(str(.IntSeq)) => #iterDone ... </k>
K0799	/reference/reference-semantics/semantics/str.k	9	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(str(iCons(C:Int, R:IntSeq))) => #iterYield(str(iCons(C, .IntSeq)), str(R)) ... </k>
K0800	/reference/reference-semantics/semantics/str.k	13	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax IntSeq ::= strToCodes(String) [function]
K0801	/reference/reference-semantics/semantics/str.k	14	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Str(S:String) => str(strToCodes(S)) ... </k>
K0802	/reference/reference-semantics/semantics/str.k	15	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strToCodes("") => .IntSeq
K0803	/reference/reference-semantics/semantics/str.k	16	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strToCodes(S:String) => iCons(ordChar(substrString(S, 0, 1)), strToCodes(substrString(S, 1, lengthString(S)))) requires S =/=String "" andBool ordChar(substrString(S, 0, 1)) <Int 128
K0804	/reference/reference-semantics/semantics/str.k	20	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax IntSeq ::= seqConcat(IntSeq, IntSeq) [function, total]
K0805	/reference/reference-semantics/semantics/str.k	21	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule seqConcat(.IntSeq, T:IntSeq) => T
K0806	/reference/reference-semantics/semantics/str.k	22	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule seqConcat(iCons(I:Int, S:IntSeq), T:IntSeq) => iCons(I, seqConcat(S, T))
K0807	/reference/reference-semantics/semantics/str.k	24	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("+", str(A:IntSeq), str(B:IntSeq)) => str(seqConcat(A, B))
K0808	/reference/reference-semantics/semantics/str.k	25	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", str(A:IntSeq), str(B:IntSeq)) => A ==K B
K0809	/reference/reference-semantics/semantics/str.k	26	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", str(A:IntSeq), str(B:IntSeq)) => notBool (A ==K B)
K0810	/reference/reference-semantics/semantics/str.k	29	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("in", str(P:IntSeq), str(X:IntSeq)) => strContains(P, X)
K0811	/reference/reference-semantics/semantics/str.k	30	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("not in", str(P:IntSeq), str(X:IntSeq)) => notBool strContains(P, X)
K0812	/reference/reference-semantics/semantics/str.k	32	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= strPrefix(IntSeq, IntSeq) [function, total]
K0813	/reference/reference-semantics/semantics/str.k	33	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strPrefix(.IntSeq, _:IntSeq) => true
K0814	/reference/reference-semantics/semantics/str.k	34	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strPrefix(iCons(_:Int, _:IntSeq), .IntSeq) => false
K0815	/reference/reference-semantics/semantics/str.k	35	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strPrefix(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)) => A ==Int B andBool strPrefix(As, Bs)
K0816	/reference/reference-semantics/semantics/str.k	37	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= strContains(IntSeq, IntSeq) [function, total]
K0817	/reference/reference-semantics/semantics/str.k	38	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strContains(P:IntSeq, X:IntSeq) => true requires strPrefix(P, X)
K0818	/reference/reference-semantics/semantics/str.k	39	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strContains(P:IntSeq, .IntSeq) => false requires notBool strPrefix(P, .IntSeq)
K0819	/reference/reference-semantics/semantics/str.k	40	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strContains(P:IntSeq, iCons(C:Int, Xs:IntSeq)) => strContains(P, Xs) requires notBool strPrefix(P, iCons(C, Xs))
K0820	/reference/reference-semantics/semantics/str.k	48	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= strLt(IntSeq, IntSeq) [function, total]
K0821	/reference/reference-semantics/semantics/str.k	49	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strLt(.IntSeq, .IntSeq) => false
K0822	/reference/reference-semantics/semantics/str.k	50	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strLt(.IntSeq, iCons(_:Int, _:IntSeq)) => true
K0823	/reference/reference-semantics/semantics/str.k	51	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strLt(iCons(_:Int, _:IntSeq), .IntSeq) => false
K0824	/reference/reference-semantics/semantics/str.k	52	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strLt(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)) => true requires A <Int B
K0825	/reference/reference-semantics/semantics/str.k	53	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strLt(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)) => false requires A >Int B
K0826	/reference/reference-semantics/semantics/str.k	54	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule strLt(iCons(A:Int, As:IntSeq), iCons(B:Int, Bs:IntSeq)) => strLt(As, Bs) requires A ==Int B
K0827	/reference/reference-semantics/semantics/str.k	56	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<", str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
K0828	/reference/reference-semantics/semantics/str.k	57	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">", str(A:IntSeq), str(B:IntSeq)) => strLt(B, A)
K0829	/reference/reference-semantics/semantics/str.k	58	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<=", str(A:IntSeq), str(B:IntSeq)) => notBool strLt(B, A)
