$ python3 /audit-output/evidence/differential_test.py
CASE index=0 n=1 m=5 canonical=('return', 'str', '0b11') candidate=('return', 'str', '0b11')
CASE index=870 n=115 m=141 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=871 n=231 m=147 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=872 n=145 m=193 canonical=('return', 'str', '0b10101001') candidate=('return', 'str', '0b10101001')
CASE index=873 n=75 m=79 canonical=('return', 'str', '0b1001101') candidate=('return', 'str', '0b1001101')
CASE index=874 n=159 m=139 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=875 n=42 m=53 canonical=('return', 'str', '0b110000') candidate=('return', 'str', '0b110000')
CASE index=876 n=207 m=146 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=877 n=99 m=188 canonical=('return', 'str', '0b10010000') candidate=('return', 'str', '0b10010000')
CASE index=878 n=96 m=60 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=879 n=207 m=210 canonical=('return', 'str', '0b11010000') candidate=('return', 'str', '0b11010000')
CASE index=880 n=41 m=8 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=881 n=124 m=76 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=882 n=33 m=144 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=883 n=95 m=25 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=884 n=90 m=118 canonical=('return', 'str', '0b1101000') candidate=('return', 'str', '0b1101000')
CASE index=885 n=122 m=194 canonical=('return', 'str', '0b10011110') candidate=('return', 'str', '0b10011110')
CASE index=886 n=72 m=54 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=887 n=170 m=36 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=888 n=185 m=43 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=889 n=90 m=114 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=890 n=69 m=169 canonical=('return', 'str', '0b1110111') candidate=('return', 'str', '0b1110111')
CASE index=891 n=205 m=233 canonical=('return', 'str', '0b11011011') candidate=('return', 'str', '0b11011011')
CASE index=892 n=193 m=125 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=893 n=127 m=40 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=894 n=135 m=21 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=895 n=140 m=150 canonical=('return', 'str', '0b10010001') candidate=('return', 'str', '0b10010001')
CASE index=896 n=217 m=179 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=897 n=212 m=70 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=898 n=37 m=164 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=899 n=22 m=45 canonical=('return', 'str', '0b100010') candidate=('return', 'str', '0b100010')
CASE index=900 n=28 m=164 canonical=('return', 'str', '0b1100000') candidate=('return', 'str', '0b1100000')
CASE index=901 n=129 m=132 canonical=('return', 'str', '0b10000010') candidate=('return', 'str', '0b10000010')
CASE index=902 n=204 m=8 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=903 n=89 m=214 canonical=('return', 'str', '0b10011000') candidate=('return', 'str', '0b10011000')
CASE index=904 n=62 m=182 canonical=('return', 'str', '0b1111010') candidate=('return', 'str', '0b1111010')
CASE index=905 n=35 m=55 canonical=('return', 'str', '0b101101') candidate=('return', 'str', '0b101101')
CASE index=906 n=126 m=70 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=907 n=16 m=167 canonical=('return', 'str', '0b1011100') candidate=('return', 'str', '0b1011100')
CASE index=908 n=49 m=120 canonical=('return', 'str', '0b1010100') candidate=('return', 'str', '0b1010100')
CASE index=909 n=118 m=165 canonical=('return', 'str', '0b10001110') candidate=('return', 'str', '0b10001110')
CASE index=910 n=96 m=40 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=911 n=55 m=145 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=912 n=202 m=132 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=913 n=205 m=174 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=914 n=147 m=70 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=915 n=97 m=39 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=916 n=220 m=51 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=917 n=101 m=163 canonical=('return', 'str', '0b10000100') candidate=('return', 'str', '0b10000100')
CASE index=918 n=51 m=226 canonical=('return', 'str', '0b10001010') candidate=('return', 'str', '0b10001010')
CASE index=919 n=107 m=140 canonical=('return', 'str', '0b1111100') candidate=('return', 'str', '0b1111100')
CASE index=920 n=163 m=139 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=921 n=207 m=130 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=922 n=120 m=240 canonical=('return', 'str', '0b10110100') candidate=('return', 'str', '0b10110100')
CASE index=923 n=247 m=85 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=924 n=183 m=7 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=925 n=208 m=91 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=926 n=218 m=75 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=927 n=226 m=52 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=928 n=39 m=91 canonical=('return', 'str', '0b1000001') candidate=('return', 'str', '0b1000001')
CASE index=929 n=148 m=180 canonical=('return', 'str', '0b10100100') candidate=('return', 'str', '0b10100100')
CASE index=930 n=199 m=150 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=931 n=1 m=25 canonical=('return', 'str', '0b1101') candidate=('return', 'str', '0b1101')
CASE index=932 n=39 m=109 canonical=('return', 'str', '0b1001010') candidate=('return', 'str', '0b1001010')
CASE index=933 n=60 m=29 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=934 n=192 m=202 canonical=('return', 'str', '0b11000101') candidate=('return', 'str', '0b11000101')
CASE index=935 n=76 m=92 canonical=('return', 'str', '0b1010100') candidate=('return', 'str', '0b1010100')
CASE index=936 n=80 m=141 canonical=('return', 'str', '0b1101110') candidate=('return', 'str', '0b1101110')
CASE index=937 n=143 m=55 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=938 n=47 m=96 canonical=('return', 'str', '0b1001000') candidate=('return', 'str', '0b1001000')
CASE index=939 n=130 m=234 canonical=('return', 'str', '0b10110110') candidate=('return', 'str', '0b10110110')
CASE index=940 n=7 m=217 canonical=('return', 'str', '0b1110000') candidate=('return', 'str', '0b1110000')
CASE index=941 n=72 m=219 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=942 n=95 m=132 canonical=('return', 'str', '0b1110010') candidate=('return', 'str', '0b1110010')
CASE index=943 n=195 m=163 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=944 n=221 m=72 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=945 n=107 m=40 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=946 n=105 m=212 canonical=('return', 'str', '0b10011110') candidate=('return', 'str', '0b10011110')
CASE index=947 n=162 m=125 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=948 n=222 m=85 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=949 n=49 m=150 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=950 n=130 m=200 canonical=('return', 'str', '0b10100101') candidate=('return', 'str', '0b10100101')
CASE index=951 n=60 m=187 canonical=('return', 'str', '0b1111100') candidate=('return', 'str', '0b1111100')
CASE index=952 n=75 m=62 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=953 n=184 m=232 canonical=('return', 'str', '0b11010000') candidate=('return', 'str', '0b11010000')
CASE index=954 n=41 m=104 canonical=('return', 'str', '0b1001000') candidate=('return', 'str', '0b1001000')
CASE index=955 n=46 m=86 canonical=('return', 'str', '0b1000010') candidate=('return', 'str', '0b1000010')
CASE index=956 n=194 m=28 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=957 n=145 m=244 canonical=('return', 'str', '0b11000010') candidate=('return', 'str', '0b11000010')
CASE index=958 n=162 m=142 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=959 n=196 m=141 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=960 n=154 m=236 canonical=('return', 'str', '0b11000011') candidate=('return', 'str', '0b11000011')
CASE index=961 n=229 m=20 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=962 n=13 m=74 canonical=('return', 'str', '0b101100') candidate=('return', 'str', '0b101100')
CASE index=963 n=189 m=19 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=964 n=136 m=124 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=965 n=9 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=966 n=57 m=237 canonical=('return', 'str', '0b10010011') candidate=('return', 'str', '0b10010011')
CASE index=967 n=22 m=131 canonical=('return', 'str', '0b1001100') candidate=('return', 'str', '0b1001100')
CASE index=968 n=18 m=211 canonical=('return', 'str', '0b1110010') candidate=('return', 'str', '0b1110010')
CASE index=969 n=245 m=221 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=970 n=9 m=236 canonical=('return', 'str', '0b1111010') candidate=('return', 'str', '0b1111010')
CASE index=971 n=250 m=78 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=972 n=237 m=163 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=973 n=198 m=168 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=974 n=211 m=240 canonical=('return', 'str', '0b11100010') candidate=('return', 'str', '0b11100010')
CASE index=975 n=74 m=225 canonical=('return', 'str', '0b10010110') candidate=('return', 'str', '0b10010110')
CASE index=976 n=168 m=175 canonical=('return', 'str', '0b10101100') candidate=('return', 'str', '0b10101100')
CASE index=977 n=203 m=97 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=978 n=139 m=38 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=979 n=18 m=71 canonical=('return', 'str', '0b101100') candidate=('return', 'str', '0b101100')
CASE index=980 n=205 m=120 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=981 n=10 m=21 canonical=('return', 'str', '0b10000') candidate=('return', 'str', '0b10000')
CASE index=982 n=109 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=983 n=76 m=177 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=984 n=112 m=117 canonical=('return', 'str', '0b1110010') candidate=('return', 'str', '0b1110010')
CASE index=985 n=228 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=986 n=245 m=236 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=987 n=229 m=169 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=988 n=215 m=104 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=989 n=8 m=150 canonical=('return', 'str', '0b1001111') candidate=('return', 'str', '0b1001111')
CASE index=990 n=151 m=66 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=991 n=140 m=144 canonical=('return', 'str', '0b10001110') candidate=('return', 'str', '0b10001110')
CASE index=992 n=170 m=102 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=993 n=111 m=76 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=994 n=202 m=163 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=995 n=14 m=132 canonical=('return', 'str', '0b1001001') candidate=('return', 'str', '0b1001001')
CASE index=996 n=210 m=151 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=997 n=227 m=169 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=998 n=122 m=135 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=999 n=141 m=90 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1000 n=16 m=226 canonical=('return', 'str', '0b1111001') candidate=('return', 'str', '0b1111001')
CASE index=1001 n=211 m=201 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1002 n=211 m=217 canonical=('return', 'str', '0b11010110') candidate=('return', 'str', '0b11010110')
CASE index=1003 n=27 m=184 canonical=('return', 'str', '0b1101010') candidate=('return', 'str', '0b1101010')
CASE index=1004 n=128 m=68 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1005 n=38 m=187 canonical=('return', 'str', '0b1110000') candidate=('return', 'str', '0b1110000')
CASE index=1006 n=250 m=69 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1007 n=190 m=191 canonical=('return', 'str', '0b10111110') candidate=('return', 'str', '0b10111110')
CASE index=1008 n=220 m=165 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1009 n=137 m=222 canonical=('return', 'str', '0b10110100') candidate=('return', 'str', '0b10110100')
CASE index=1010 n=204 m=39 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1011 n=58 m=161 canonical=('return', 'str', '0b1101110') candidate=('return', 'str', '0b1101110')
CASE index=1012 n=123 m=188 canonical=('return', 'str', '0b10011100') candidate=('return', 'str', '0b10011100')
CASE index=1013 n=155 m=61 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1014 n=221 m=91 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1015 n=89 m=82 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=1016 n=4 m=182 canonical=('return', 'str', '0b1011101') candidate=('return', 'str', '0b1011101')
SUMMARY cases=1017 generated=1000 mismatches=0
EXIT_STATUS=0
